nome_municipio,sigla_uf,taxa_ano_anterior,meta_alfabetizacao,risco_%
Peixoto de Azevedo,MT,36.06,42.73,37.7
Caturaí,GO,68.4,70.26,37.7
Pinheiro,MA,53.04,57.5,37.6
Carbonita,MG,64.55,67.08,37.6
Teixeira,PB,72.85,73.96,37.6
Bataguassu,MS,37.66,44.18,37.6
Pirapora,MG,51.29,54.52,37.6
Timbaúba,PE,74.11,75.02,37.5
Sítio Novo,RN,28.73,35.88,37.5
Itaquitinga,PE,48.29,53.48,37.5
Tutóia,MA,37.64,44.16,37.5
São Miguel,RN,39.84,46.13,37.5
Marcos Parente,PI,22.19,29.37,37.5
Rio Manso,MG,71.24,72.62,37.5
Goianinha,RN,22.54,29.73,37.5
Flores de Goiás,GO,66.75,68.9,37.5
Nova Bréscia,RS,77.31,77.71,37.5
Pintadas,BA,44.93,50.59,37.5
Engenheiro Beltrão,PR,87.33,80.0,37.4
Baldim,MG,74.25,75.13,37.4
Aliança do Tocantins,TO,95.52,80.0,37.4
Camutanga,PE,56.1,60.07,37.4
Piranguçu,MG,66.27,68.5,37.4
Camamu,BA,25.96,33.17,37.4
Joaçaba,SC,61.3,62.61,37.4
Brasil Novo,PA,73.21,74.26,37.4
Cafelândia,PR,87.02,80.0,37.4
Riacho das Almas,PE,63.97,66.6,37.3
Engenheiro Caldas,MG,58.22,61.83,37.3
Bequimão,MA,33.01,39.93,37.3
Promissão,SP,64.05,69.41,37.3
Antônio Carlos,SC,72.85,75.32,37.3
Rio Grande da Serra,SP,45.84,38.67,37.3
São Carlos,SP,54.13,56.26,37.3
São Gonçalo do Gurguéia,PI,76.47,77.0,37.3
Conceição do Tocantins,TO,27.6,34.78,37.3
Arapoema,TO,37.31,43.86,37.3
Montadas,PB,65.88,68.18,37.3
Ribeirão das Neves,MG,54.69,59.14,37.3
Paraisópolis,MG,60.77,63.95,37.2
Canapi,AL,45.5,51.08,37.2
Sobrália,MG,66.54,68.72,37.2
Santa Teresa,ES,85.59,80.0,37.2
Congonhas do Norte,MG,91.99,80.0,37.2
Acajutiba,BA,19.7,26.77,37.2
Pirapetinga,MG,62.67,65.52,37.2
Bonito,PE,56.71,60.58,37.2
Dionísio,MG,85.38,80.0,37.2
São José do Sabugi,PB,51.51,56.21,37.1
Monte Carlo,SC,63.76,66.43,37.1
Irineópolis,SC,71.82,73.1,37.1
São Vicente,SP,42.77,49.01,37.1
São Francisco,PB,56.59,60.48,37.0
Neópolis,SE,23.66,28.33,37.0
Gado Bravo,PB,78.26,78.52,37.0
Tamboara,PR,47.6,52.89,37.0
Cubati,PB,71.83,73.11,37.0
Toropi,RS,100.0,80.0,37.0
Santa Fé de Minas,MG,33.37,40.26,37.0
Mariluz,PR,62.44,65.33,37.0
Conceição da Feira,BA,31.68,38.68,37.0
Santa Teresinha,BA,26.63,33.84,37.0
São Geraldo da Piedade,MG,69.23,70.95,37.0
Mata Roma,MA,69.68,71.33,36.9
Rio Formoso,PE,93.31,80.0,36.9
Grão Mogol,MG,71.57,72.9,36.9
Perobal,PR,57.6,61.32,36.9
Princesa,SC,89.34,80.0,36.9
Jaborandi,BA,40.89,47.06,36.9
São Julião,PI,94.83,80.0,36.9
Laranjeiras do Sul,PR,72.14,73.37,36.9
Juscimeira,MT,50.74,53.79,36.9
Cândido Mendes,MA,61.61,64.65,36.9
Penalva,MA,55.46,59.53,36.9
Águas Mornas,SC,81.28,80.0,36.9
Toledo,MG,63.11,65.89,36.9
Jandaíra,BA,50.51,55.37,36.8
Itaocara,RJ,65.31,67.71,36.8
Chácara,MG,28.81,35.95,36.8
Fazenda Nova,GO,96.67,80.0,36.8
Itaquiraí,MS,73.35,74.38,36.8
Barroso,MG,73.7,74.67,36.8
Batayporã,MS,45.7,51.26,36.8
Quipapá,PE,48.12,53.33,36.8
Palmeirina,PE,60.56,63.78,36.8
Paulo Afonso,BA,24.79,32.01,36.8
Triunfo,PE,82.65,80.0,36.7
Mirador,MA,35.01,41.77,36.7
São Miguel do Tocantins,TO,26.98,34.18,36.7
Ipatinga,MG,66.94,67.17,36.7
Caém,BA,35.37,42.1,36.7
Novo Tiradentes,RS,80.82,72.78,36.7
Buriti dos Montes,PI,84.87,80.0,36.7
São João da Mata,MG,78.13,78.4,36.6
Arambaré,RS,57.54,61.27,36.6
Alto Parnaíba,MA,46.76,52.17,36.6
Mercedes,PR,91.25,80.0,36.6
Vila Nova do Sul,RS,53.56,54.11,36.6
Nova América,GO,89.9,80.0,36.6
São Mamede,PB,37.65,44.17,36.6
Guarujá do Sul,SC,88.63,80.0,36.5
Viadutos,RS,86.68,80.0,36.5
Jaupaci,GO,97.43,80.0,36.5
Piranhas,AL,24.74,31.96,36.5
Presidente Médici,MA,75.46,76.15,36.5
Novo São Joaquim,MT,61.2,62.33,36.5
Água Clara,MS,70.19,71.75,36.5
Cuité,PB,50.66,55.49,36.5
Governador Newton Bello,MA,69.13,70.87,36.4
São Tomé,RN,21.91,27.18,36.4
Lebon Régis,SC,42.9,47.04,36.4
Catuji,MG,40.11,42.58,36.4
São João do Pacuí,MG,74.18,75.08,36.4
Lago dos Rodrigues,MA,88.14,80.0,36.4
Matutina,MG,91.3,80.0,36.4
Ipiranga do Sul,RS,82.35,80.0,36.4
Santa Fé,PR,58.68,62.22,36.4
Cambuquira,MG,71.62,71.0,36.3
Cristinápolis,SE,24.74,31.96,36.3
Cupira,PE,77.97,78.27,36.3
Barra de Santo Antônio,AL,30.57,37.63,36.3
Bauru,SP,49.38,49.57,36.2
Matriz de Camaragibe,AL,35.25,41.99,36.2
Alto Jequitibá,MG,50.82,55.63,36.2
Frederico Westphalen,RS,76.95,65.99,36.2
Varjão,GO,97.74,80.0,36.2
Araguari,MG,49.17,53.17,36.2
Guimarães,MA,89.07,80.0,36.2
Palmeirópolis,TO,47.77,53.03,36.2
Floraí,PR,77.34,77.73,36.2
São João da Fronteira,PI,26.94,34.14,36.2
Colinas do Tocantins,TO,51.01,55.79,36.1
Campo Alegre,SC,66.48,68.68,36.1
Mutunópolis,GO,92.95,80.0,36.1
Sapucaí-Mirim,MG,52.93,57.41,36.1
Esperança,PB,61.5,64.55,36.1
Lambari,MG,68.51,68.05,36.1
Ribeirãozinho,MT,48.96,54.05,36.1
Iracema do Oeste,PR,92.86,80.0,36.1
Santa Helena,PB,52.83,57.33,36.1
São Brás,AL,67.19,69.26,36.1
Rio Branco,MT,48.15,53.36,36.1
Palmas,TO,58.66,62.2,36.1
Pau dos Ferros,RN,39.7,45.25,36.1
Lucas do Rio Verde,MT,63.96,66.59,36.1
Paulino Neves,MA,64.86,67.34,36.1
Curvelo,MG,65.98,67.73,36.0
Morro Reuter,RS,61.32,56.24,36.0
Firminópolis,GO,76.84,77.31,36.0
Miraguaí,RS,79.36,79.13,36.0
Nhandeara,SP,70.73,68.69,36.0
Ipiranga de Goiás,GO,93.1,80.0,36.0
Santo Antônio dos Milagres,PI,96.15,80.0,35.9
Sarandi,PR,57.98,61.63,35.9
Tenório,PB,62.16,65.1,35.9
São Joaquim,SC,42.08,41.26,35.9
Mortugaba,BA,68.97,70.74,35.9
São Lourenço do Piauí,PI,100.0,80.0,35.9
Itarema,CE,92.56,80.0,35.9
São João do Oeste,SC,96.02,80.0,35.9
Laguna,SC,54.35,40.16,35.9
Paraopeba,MG,45.79,53.95,35.9
Milton Brandão,PI,37.5,44.03,35.8
Itainópolis,PI,74.15,75.05,35.8
Barra do Corda,MA,65.45,67.82,35.8
Boca da Mata,AL,73.6,74.59,35.8
Capitão Leônidas Marques,PR,72.97,74.06,35.8
Porto Nacional,TO,56.8,60.65,35.8
Tocantins,MG,58.37,61.96,35.7
Ijaci,MG,72.8,73.92,35.7
São Sebastião do Oeste,MG,71.5,72.84,35.7
São Tomé,PR,88.97,80.0,35.7
Pratinha,MG,85.44,80.0,35.7
Prudente de Morais,MG,51.09,57.41,35.7
Orobó,PE,61.24,64.34,35.7
Queimadas,PB,85.04,80.0,35.7
Jaíba,MG,45.96,48.75,35.7
Materlândia,MG,37.11,43.68,35.7
Campo Redondo,RN,24.04,31.26,35.6
São Sebastião da Bela Vista,MG,66.97,69.08,35.6
Sapeaçu,BA,56.84,60.68,35.6
Sebastião Leal,PI,93.5,80.0,35.6
João Dourado,BA,34.64,41.43,35.6
Ladário,MS,25.17,32.39,35.6
Alta Floresta,MT,52.38,57.91,35.6
Casa Grande,MG,68.75,70.55,35.6
Angico,TO,40.16,46.41,35.6
Coivaras,PI,78.14,78.41,35.6
Barão de Grajaú,MA,41.6,47.68,35.6
Ouricuri,PE,36.16,42.82,35.6
Inácio Martins,PR,73.43,74.45,35.6
Paraguaçu,MG,62.45,65.34,35.6
Jitaúna,BA,24.15,31.37,35.5
Brejinho,PE,71.45,72.8,35.5
Rio Verde de Mato Grosso,MS,47.3,52.63,35.5
Jataúba,PE,51.9,56.54,35.5
Saltinho,SC,95.13,80.0,35.5
Aimorés,MG,56.8,53.9,35.5
Janaúba,MG,52.76,54.63,35.5
Ritápolis,MG,64.3,66.87,35.5
Esplanada,BA,19.87,26.95,35.4
Piranga,MG,60.1,63.43,35.4
Patos de Minas,MG,70.3,70.88,35.4
Fervedouro,MG,66.12,68.38,35.4
Anastácio,MS,31.44,34.56,35.4
Restinga Seca,RS,60.96,51.07,35.4
Santa Cruz de Minas,MG,63.86,66.51,35.4
Bodocó,PE,45.23,50.85,35.4
Pedra Preta,RN,42.11,48.13,35.4
Penaforte,CE,77.7,78.04,35.3
São Gonçalo do Abaeté,MG,89.0,80.0,35.3
Patrocínio do Muriaé,MG,72.64,73.79,35.3
Petrolina,PE,66.17,68.42,35.3
Acopiara,CE,62.63,65.49,35.3
Riacho dos Machados,MG,67.54,69.55,35.3
Barbacena,MG,64.56,62.71,35.3
Miradouro,MG,47.26,52.6,35.3
Itabaiana,PB,33.24,32.55,35.3
Santa Bárbara d'Oeste,SP,55.78,58.84,35.3
Soledade de Minas,MG,73.12,74.19,35.2
Marizópolis,PB,100.0,80.0,35.2
Uniflor,PR,60.23,63.5,35.2
Japaraíba,MG,71.03,72.45,35.2
Alto Feliz,RS,72.7,73.84,35.2
Nazaré Paulista,SP,50.95,52.23,35.2
Domingos Mourão,PI,91.43,80.0,35.2
Arari,MA,67.49,69.51,35.2
Ibateguara,AL,93.46,80.0,35.2
Conceição da Barra de Minas,MG,68.75,70.55,35.1
Vila Nova do Piauí,PI,100.0,80.0,35.1
Caculé,BA,51.82,56.48,35.1
Juazeirinho,PB,50.95,55.74,35.1
Canelinha,SC,59.28,62.71,35.1
Morro do Chapéu do Piauí,PI,28.84,35.98,35.1
Mata,RS,79.16,67.91,35.1
Olhos-d'Água,MG,68.23,70.12,35.1
Santa Rosa do Tocantins,TO,20.86,27.99,35.0
Vertentes,PE,55.05,59.19,35.0
Ipiaçu,MG,75.16,75.9,35.0
Santana do Jacaré,MG,76.26,76.82,35.0
Poção de Pedras,MA,89.32,80.0,35.0
Açu,RN,41.81,48.18,35.0
Novo Alegre,TO,71.67,72.98,35.0
São José do Jacuri,MG,55.27,59.37,35.0
Limeira,SP,62.18,65.28,35.0
Alto Alegre do Maranhão,MA,70.23,71.78,35.0
Camocim de São Félix,PE,55.71,59.74,34.9
Paulo Ramos,MA,76.26,76.82,34.9
Santa Maria do Suaçuí,MG,74.18,64.62,34.9
Tapiraí,MG,76.47,77.0,34.9
Monte das Gameleiras,RN,33.36,40.25,34.9
Missal,PR,88.67,80.0,34.9
Morpará,BA,31.78,38.78,34.9
Santa Bárbara do Pará,PA,37.63,44.15,34.9
São Félix,BA,32.07,39.05,34.9
Barreira,CE,88.76,80.0,34.9
Bela Vista do Piauí,PI,61.05,64.18,34.8
São José do Ouro,RS,67.83,65.42,34.8
Divinópolis,MG,69.78,67.23,34.8
Pedro Leopoldo,MG,58.7,62.5,34.8
Piancó,PB,48.84,53.95,34.8
Tenente Laurentino Cruz,RN,44.64,50.34,34.8
Herval,RS,63.43,57.32,34.7
Pombal,PB,58.65,62.19,34.7
Manfrinópolis,PR,91.01,80.0,34.7
Modelo,SC,81.55,80.0,34.7
Caicó,RN,37.06,42.3,34.7
Juazeiro do Piauí,PI,68.69,70.51,34.7
Vazante,MG,48.56,49.64,34.7
Sabinópolis,MG,51.31,46.78,34.7
Livramento,PB,43.81,49.62,34.7
Barro Alto,BA,24.29,31.51,34.7
Rio Casca,MG,59.63,63.0,34.6
Marco,CE,94.18,80.0,34.6
Pugmil,TO,20.72,27.85,34.6
Vianópolis,GO,89.04,80.0,34.6
Barra do Choça,BA,36.09,42.76,34.6
Bicas,MG,45.18,50.81,34.5
Caiçara,PB,53.84,58.17,34.5
Taquaral de Goiás,GO,69.59,71.25,34.5
Rio Novo do Sul,ES,78.04,78.33,34.5
Santo Antônio do Leste,MT,65.25,64.12,34.5
Contendas do Sincorá,BA,24.0,31.22,34.5
São Vicente do Seridó,PB,55.88,59.88,34.4
Fagundes Varela,RS,92.86,80.0,34.4
Mirandiba,PE,35.45,42.17,34.4
Corinto,MG,40.03,46.3,34.4
Sacramento,MG,64.01,66.63,34.4
Japurá,AM,77.63,77.7,34.4
São Thomé das Letras,MG,87.42,80.0,34.3
Cajapió,MA,66.03,68.3,34.3
Cocal,PI,73.16,74.22,34.3
Cotriguaçu,MT,58.35,61.94,34.3
Cambira,PR,86.17,80.0,34.3
São Bento,PB,42.46,48.44,34.3
Volta Grande,MG,50.77,55.59,34.3
Cotegipe,BA,40.77,46.95,34.2
Campos Gerais,MG,65.56,67.91,34.2
Resplendor,MG,71.54,72.87,34.2
Morada Nova,CE,71.96,73.22,34.2
Francisco Sá,MG,46.5,47.71,34.2
Riachão,PB,52.41,56.97,34.2
Araguainha,MT,22.22,29.4,34.2
Coité do Nóia,AL,74.97,75.74,34.2
Salto,SP,57.56,60.17,34.2
Rio Negro,MS,53.09,57.54,34.1
Pouso Novo,RS,92.31,80.0,34.1
Campina Grande,PB,42.8,48.39,34.1
Josenópolis,MG,90.34,80.0,34.1
Entre Folhas,MG,78.64,78.84,34.1
Pará de Minas,MG,61.39,57.9,34.1
Santa Cruz,PB,52.79,57.29,34.1
Japaratinga,AL,23.07,30.27,34.0
Palmeira das Missões,RS,56.84,53.85,34.0
Miranorte,TO,52.55,57.09,34.0
Vera Cruz,BA,39.14,45.5,34.0
Cortês,PE,61.81,64.81,34.0
Nova Tebas,PR,89.19,80.0,34.0
Mairipotaba,GO,97.33,80.0,34.0
Varzedo,BA,44.14,49.91,34.0
Paranã,TO,42.28,48.28,34.0
Jardim,CE,77.88,78.19,33.9
Tomazina,PR,91.65,80.0,33.9
Rio Grande do Piauí,PI,48.59,53.74,33.9
Jaqueira,PE,57.65,61.36,33.9
Itápolis,SP,68.72,68.83,33.9
Carrapateira,PB,68.95,70.72,33.9
Coari,AM,47.15,45.17,33.8
Nova Rosalândia,TO,32.17,39.14,33.8
Assunção,PB,48.37,53.55,33.8
São Raimundo Nonato,PI,68.18,70.08,33.8
Ametista do Sul,RS,53.78,54.07,33.8
Santana do Maranhão,MA,85.85,80.0,33.8
Cuparaque,MG,98.0,80.0,33.8
Jaguaruana,CE,84.18,80.0,33.7
José Bonifácio,SP,63.46,59.8,33.7
São Luís de Montes Belos,GO,66.51,68.7,33.7
Joinville,SC,65.49,68.23,33.7
Caarapó,MS,53.56,57.41,33.7
Nova Cruz,RN,40.15,37.61,33.7
Frutuoso Gomes,RN,39.91,27.09,33.7
Medianeira,PR,79.22,79.33,33.7
Bueno Brandão,MG,63.01,65.8,33.7
Centenário,TO,23.33,30.54,33.7
Lagoa Grande,PE,54.74,58.93,33.6
Jeceaba,MG,67.57,69.58,33.6
Iguape,SP,58.77,60.97,33.6
Feira Grande,AL,35.2,41.94,33.6
São Patrício,GO,89.17,80.0,33.6
Pastos Bons,MA,74.16,75.06,33.6
Novo Horizonte,SC,91.6,80.0,33.6
Ouro,SC,72.58,73.74,33.6
Atibaia,SP,70.57,72.05,33.6
Santa Luzia,MA,54.43,58.67,33.6
Novo Horizonte do Norte,MT,62.97,65.77,33.6
Bom Jardim de Goiás,GO,79.14,79.26,33.6
Rosário,MA,56.65,60.53,33.6
Monte Alegre de Minas,MG,74.78,75.58,33.6
Santos,SP,56.01,59.92,33.5
Nova Andradina,MS,56.76,61.97,33.5
Ilha de Itamaracá,PE,53.17,57.61,33.5
Tiros,MG,59.26,62.7,33.5
Abaeté,MG,53.48,56.9,33.5
Resende Costa,MG,57.85,61.52,33.5
Mirante da Serra,RO,59.21,62.66,33.5
Gurjão,PB,73.31,74.35,33.5
Ibiraci,MG,45.5,39.73,33.5
Matupá,MT,65.6,67.95,33.5
Iati,PE,66.34,68.56,33.4
Jatobá,MA,72.81,73.93,33.4
Mata Grande,AL,40.11,46.37,33.4
Pimenta Bueno,RO,69.73,71.37,33.4
Nova Itarana,BA,32.97,39.89,33.3
Borda da Mata,MG,69.5,67.91,33.3
São Miguel do Anta,MG,74.87,75.65,33.3
Sem-Peixe,MG,76.47,77.0,33.3
Cachoeira de Pajeú,MG,60.31,63.57,33.3
Tabaporã,MT,51.43,56.15,33.3
Franco da Rocha,SP,50.47,55.69,33.2
Irajuba,BA,40.34,46.57,33.2
Russas,CE,92.93,80.0,33.2
Fortaleza dos Valos,RS,87.27,80.0,33.2
Santo Inácio do Piauí,PI,73.42,74.44,33.2
Nazareno,MG,87.42,80.0,33.2
Araripina,PE,56.89,60.73,33.2
Água Doce do Norte,ES,77.35,77.74,33.1
Brasnorte,MT,51.92,56.56,33.1
Barreirinhas,MA,50.35,55.23,33.1
São Domingos do Araguaia,PA,46.05,51.56,33.1
São Joaquim da Barra,SP,52.89,51.12,33.1
Guarulhos,SP,44.51,45.75,33.1
Sumaré,SP,54.16,57.39,33.0
Carrancas,MG,70.36,71.89,33.0
Itaguara,MG,56.99,60.81,33.0
Brasilândia,MS,51.72,56.39,33.0
Florestal,MG,57.15,60.94,32.9
Suzano,SP,44.51,48.1,32.9
São Gotardo,MG,53.98,57.5,32.9
Conceição da Aparecida,MG,70.87,72.31,32.9
Porto Rico do Maranhão,MA,73.83,74.78,32.9
Alcinópolis,MS,76.7,77.19,32.9
Treze de Maio,SC,71.87,73.15,32.9
Rubim,MG,86.74,80.0,32.8
São José de Princesa,PB,82.35,80.0,32.8
Ituaçu,BA,57.52,61.25,32.8
São José dos Ramos,PB,58.86,62.36,32.8
Pimenteiras do Oeste,RO,54.77,58.95,32.8
Arês,RN,24.75,31.97,32.8
Pauini,AM,38.95,45.33,32.8
Laranjal,MG,40.25,46.49,32.8
Joselândia,MA,54.55,58.77,32.7
Não-Me-Toque,RS,71.73,68.38,32.7
Buriti de Goiás,GO,95.35,80.0,32.7
São Sebastião do Uatumã,AM,51.53,56.43,32.7
Icapuí,CE,82.16,80.0,32.7
Lagoa Formosa,MG,60.53,63.75,32.7
Moreira Sales,PR,79.33,79.43,32.7
Amarante,PI,22.26,29.44,32.7
Coroaci,MG,56.22,60.17,32.7
Livramento de Nossa Senhora,BA,38.43,44.87,32.6
Vila Maria,RS,86.7,80.0,32.6
Formosa do Rio Preto,BA,19.66,26.73,32.6
Riachinho,TO,21.31,28.46,32.5
Funilândia,MG,56.66,56.12,32.5
Santa Rosa de Lima,SC,92.81,80.0,32.5
Salgado Filho,PR,89.42,80.0,32.5
Gouvelândia,GO,39.78,46.07,32.5
Afonso Cunha,MA,72.13,73.36,32.5
Mamonas,MG,40.12,46.38,32.5
Três Marias,MG,70.3,70.22,32.5
Olinda Nova do Maranhão,MA,80.81,80.0,32.5
Crixás,GO,66.73,68.88,32.5
Caraúbas,RN,26.21,32.45,32.4
Caeté,MG,73.48,74.49,32.4
São João de Meriti,RJ,37.6,44.12,32.4
Doutor Maurício Cardoso,RS,76.88,77.35,32.4
Jussara,BA,23.19,30.4,32.3
Bom Jesus da Penha,MG,51.25,55.99,32.3
Itaueira,PI,25.15,32.37,32.3
Candói,PR,73.37,74.4,32.3
São Braz do Piauí,PI,87.8,80.0,32.3
Santa Rosa da Serra,MG,72.97,74.06,32.3
Centenário do Sul,PR,54.26,58.53,32.3
Almadina,BA,31.19,38.22,32.3
Jussari,BA,35.85,42.54,32.3
Professor Jamil,GO,81.62,80.0,32.3
Damolândia,GO,93.21,80.0,32.3
Simonésia,MG,74.09,67.98,32.3
Jequeri,MG,61.41,61.2,32.3
São Francisco do Glória,MG,59.41,62.82,32.2
Joaíma,MG,48.77,48.92,32.2
Presidente Nereu,SC,51.67,56.35,32.2
Matão,SP,74.93,66.95,32.2
Santo Antônio,RN,67.11,68.69,32.1
São Francisco do Guaporé,RO,65.79,68.1,32.1
São Sebastião do Rio Verde,MG,68.42,70.28,32.1
Santana da Boa Vista,RS,53.67,53.93,32.1
Argirita,MG,55.13,59.26,32.1
Planaltino,BA,53.78,58.12,32.1
São Pedro dos Crentes,MA,40.27,46.51,32.1
Cachoeira Dourada,GO,72.51,73.68,32.1
Itabaianinha,SE,59.05,62.52,32.0
Lizarda,TO,42.61,48.57,32.0
Caiana,MG,58.54,62.1,32.0
Nova Maringá,MT,61.75,64.76,32.0
Aiuaba,CE,75.14,75.88,32.0
João Neiva,ES,71.84,73.12,32.0
Contagem,MG,54.99,58.08,32.0
Pouso Alegre,MG,55.18,62.41,32.0
Santa Terezinha,PE,68.31,70.19,32.0
Potengi,CE,90.85,80.0,32.0
Trajano de Moraes,RJ,77.24,77.65,32.0
Santo Amaro da Imperatriz,SC,60.62,61.81,32.0
Brejo,MA,50.31,55.2,31.9
Riachinho,MG,69.58,71.24,31.9
Dom Silvério,MG,66.83,68.96,31.9
Santa Rita do Trivelato,MT,64.77,67.26,31.9
Timbiras,MA,41.93,47.97,31.9
Ribeirão Claro,PR,74.58,75.41,31.9
Mata Verde,MG,62.81,59.04,31.9
Brejo Santo,CE,93.05,80.0,31.9
Iguatama,MG,98.44,80.0,31.8
Rio Bom,PR,94.5,80.0,31.8
Nina Rodrigues,MA,53.08,57.54,31.8
São José de Caiana,PB,48.19,53.39,31.8
Santa Luzia,PB,58.06,59.0,31.8
São Gonçalo do Pará,MG,61.12,64.24,31.8
Duque Bacelar,MA,69.39,71.09,31.8
São João do Caiuá,PR,93.33,80.0,31.8
Itauçu,GO,96.95,80.0,31.8
Carnaubal,CE,87.03,80.0,31.8
Timbaúba dos Batistas,RN,20.83,27.96,31.8
Porto Alegre do Piauí,PI,73.86,74.81,31.8
Mato Grosso,PB,40.0,46.27,31.8
Tavares,PB,75.27,75.99,31.7
Pinhalão,PR,73.96,74.89,31.7
Parobé,RS,58.28,61.51,31.7
São Bento do Trairí,RN,33.35,40.24,31.7
São João do Cariri,PB,29.59,36.7,31.7
Romelândia,SC,52.07,56.69,31.7
Rio Novo,MG,39.03,45.41,31.7
Santana do Riacho,MG,60.89,64.05,31.7
Ribeirão Vermelho,MG,42.82,48.75,31.7
São João Evangelista,MG,92.58,80.0,31.7
Bom Sucesso,PB,65.39,67.77,31.7
Magalhães de Almeida,MA,51.59,56.28,31.6
Tanque d'Arca,AL,42.05,48.08,31.6
Pacajus,CE,85.7,80.0,31.6
Monte Sião,MG,53.93,58.25,31.6
São Vicente de Minas,MG,60.1,63.39,31.6
Divino,MG,54.38,54.23,31.6
Campo Verde,MT,55.19,60.16,31.6
Itaú de Minas,MG,74.33,75.2,31.6
Afrânio,PE,54.58,58.8,31.6
Tangará,RN,42.7,48.84,31.6
Sandolândia,TO,45.7,51.26,31.5
Campestre,AL,41.23,47.36,31.5
Iraí,RS,76.37,69.28,31.5
Alto Araguaia,MT,73.84,74.79,31.5
Barão de Melgaço,MT,67.78,63.34,31.5
Congonhas,MG,56.15,60.11,31.5
Ouriçangas,BA,35.94,42.62,31.5
Luminárias,MG,67.26,69.32,31.5
Nova Iorque,MA,77.43,77.81,31.4
Poté,MG,42.92,47.81,31.4
Remígio,PB,58.76,62.28,31.4
Figueirópolis D'Oeste,MT,86.02,80.0,31.4
Paulista,PB,61.87,64.86,31.4
Betim,MG,54.39,58.25,31.4
Forquetinha,RS,60.8,63.97,31.4
Bertolínia,PI,59.48,62.88,31.3
Escada,PE,54.51,58.74,31.3
Wanderlândia,TO,35.16,41.91,31.3
Gurinhém,PB,35.1,41.85,31.3
São Miguel do Fidalgo,PI,55.79,59.81,31.3
Espera Feliz,MG,71.64,72.95,31.3
Santana de Pirapama,MG,53.2,50.29,31.3
Macapá,AP,41.73,49.2,31.2
Três Lagoas,MS,69.75,71.48,31.2
Brás Pires,MG,53.68,58.04,31.2
Batalha,AL,33.15,40.06,31.2
Boa Vista do Ramos,AM,41.21,33.37,31.1
Araraquara,SP,59.65,59.9,31.1
Água Fria,BA,21.0,28.14,31.1
Santa Terezinha,MT,41.22,46.1,31.1
Janduís,RN,28.72,30.69,31.1
Cássia,MG,71.94,72.14,31.0
Nova Mutum,MT,64.2,66.79,31.0
Itanhomi,MG,41.07,47.22,31.0
Prados,MG,73.21,74.26,31.0
Maracaçumé,MA,57.95,61.61,31.0
São Felipe D'Oeste,RO,53.34,57.76,31.0
Barra do Garças,MT,61.03,64.28,31.0
Uruana de Minas,MG,54.25,58.52,31.0
Divino das Laranjeiras,MG,41.39,47.5,30.9
Campos de Júlio,MT,48.17,53.38,30.9
Serrita,PE,53.72,58.07,30.9
Uberlândia,MG,52.44,55.71,30.9
Alta Floresta D'Oeste,RO,64.55,67.08,30.9
São João da Serra,PI,49.25,54.3,30.9
Senador Georgino Avelino,RN,23.89,31.11,30.9
Jerumenha,PI,26.32,33.53,30.9
Morro Cabeça no Tempo,PI,23.7,30.91,30.9
Pareci Novo,RS,73.01,74.1,30.9
Mantenópolis,ES,91.73,80.0,30.8
Maranhãozinho,MA,76.41,76.95,30.8
Cariacica,ES,57.19,60.94,30.8
Dois Lajeados,RS,91.2,80.0,30.8
Brejão,PE,67.02,69.12,30.7
São Lourenço,MG,64.43,66.73,30.7
Anapu,PA,48.76,53.88,30.7
Campo Grande,MS,41.36,47.69,30.7
Satuba,AL,42.93,48.85,30.7
Quilombo,SC,67.13,69.21,30.7
Porteirinha,MG,65.15,66.24,30.6
Turvânia,GO,72.58,73.74,30.6
Picada Café,RS,85.93,80.0,30.6
Cajueiro,AL,26.75,33.95,30.6
Pajeú do Piauí,PI,66.01,68.29,30.6
Altinho,PE,58.41,61.99,30.6
Diadema,SP,50.92,47.05,30.6
Colônia do Gurguéia,PI,54.43,58.67,30.6
Granito,PE,52.49,57.04,30.6
Bambuí,MG,65.95,68.24,30.5
Cristina,MG,55.83,59.84,30.5
Rio de Contas,BA,50.44,55.31,30.5
Areia,PB,85.08,80.0,30.5
Sapezal,MT,69.76,71.39,30.5
Divinolândia de Minas,MG,67.53,69.54,30.5
Lajeado,TO,40.45,46.67,30.4
Itabi,SE,19.35,26.4,30.4
Santa Luzia,MG,51.89,56.2,30.4
Dom Bosco,MG,50.0,59.62,30.4
Luciara,MT,37.65,44.17,30.4
Piedade de Caratinga,MG,52.84,57.33,30.4
São Domingos do Azeitão,MA,22.32,29.51,30.4
Lindoeste,PR,86.49,80.0,30.4
Divinésia,MG,43.0,48.91,30.3
Alto Paraná,PR,65.0,67.45,30.3
Barra do Mendes,BA,39.25,45.6,30.3
Santa Rosa de Lima,SE,25.0,32.22,30.3
Fátima,TO,52.54,57.08,30.3
Tailândia,PA,37.67,44.19,30.3
Ielmo Marinho,RN,43.61,47.4,30.3
Augustinópolis,TO,50.01,54.94,30.3
Vale do Paraíso,RO,55.69,59.72,30.2
Assunção do Piauí,PI,84.48,80.0,30.2
Itueta,MG,69.92,59.6,30.1
São Vicente Ferrer,MA,61.03,64.17,30.1
Carmópolis de Minas,MG,76.93,77.39,30.1
Paranatama,PE,74.14,75.04,30.1
Campo Alegre do Fidalgo,PI,38.53,44.96,30.1
São João da Canabrava,PI,82.0,80.0,30.1
